Year,Max_tp
1975,15.746147
1976,9.7795725
1977,24.511398
1978,6.2278357
1979,30.26921
1980,9.033539
1981,10.177509
1982,19.555542
1983,11.518046
1984,11.7512665
1985,10.820478
1986,3.4693928
1987,4.8255634
1988,14.724628
1989,10.79306
1990,10.552467
1991,8.853644
1992,12.596994
1993,17.910206
1994,22.250198
1995,10.750696
1996,14.883589
1997,26.65644
1998,10.956019
1999,10.77655
2000,9.798374
2001,8.058965
2002,7.424431
2003,13.369888
2004,14.118347
2005,13.80423
2006,29.764725
2007,15.751093
2008,23.337288
2010,12.651623
2011,10.963188
2012,7.2799797
2013,13.681053
2014,16.29971
2015,20.845863
2016,8.607208
2017,24.152222
2018,15.645264
2019,20.320908
2020,25.622185
2021,13.8709545
2022,13.629667
2023,16.01999
